Age,Height,Weight
24,180,80
23,170,60
24,NA,NA
34,NA,NA
21,185,82
21,185,82
25,185,82
25,185,82
27,185,82
27,185,82
31,188,75
31,188,75
31,188,75
31,188,75
33,188,75
33,188,75
33,188,75
33,188,75
31,183,72
31,183,72
31,183,72
31,183,72
33,183,72
33,183,72
33,183,72
33,183,72
18,168,NA
18,168,NA
26,186,96
26,NA,NA
22,182,76.5
31,172,70
30,159,55.5
34,159,55.5
32,171,65
22,NA,NA
22,NA,NA
30,NA,NA
30,NA,NA
34,NA,NA
28,184,85
28,175,64
28,175,64
28,175,64
28,175,64
28,175,64
28,175,64
28,175,64
28,175,64
32,175,64
32,175,64
32,175,64
32,175,64
32,175,64
32,175,64
32,175,64
32,175,64
31,189,130
54,NA,NA
20,176,85
20,176,85
20,176,85
20,176,85
22,176,85
22,176,85
22,176,85
22,176,85
22,176,85
26,176,85
26,176,85
26,176,85
26,176,85
30,176,85
30,176,85
30,176,85
30,176,85
30,176,85
34,176,85
34,176,85
27,163,NA
22,170,125
22,187,89
26,187,89
24,NA,NA
24,NA,NA
27,NA,NA
24,NA,NA
17,169,65
26,NA,NA
43,170,77
47,170,77
22,NA,NA
26,189,72
30,189,72
24,174,70
23,NA,NA
24,187,76
28,187,76
30,187,76
24,190,98
21,194,78
21,194,78
21,194,78
25,194,78
25,194,78
23,182,64
20,NA,NA
33,NA,NA
33,NA,NA
33,NA,NA
23,NA,NA
27,NA,NA
27,NA,NA
31,NA,NA
31,NA,NA
31,NA,NA
28,NA,NA
25,NA,NA
34,185,75
25,182,73
25,182,73
29,182,73
29,182,73
29,182,73
41,NA,NA
33,194,93
45,194,93
49,194,93
53,194,93
57,194,93
22,177,74
22,177,74
26,177,74
30,177,74
24,NA,64
24,168,65
28,168,65
22,185,106
26,185,106
23,167,64
23,167,64
23,167,64
23,167,64
23,167,64
23,167,64
22,189,80
24,172,58
NA,NA,NA
26,170,65
21,NA,NA
21,NA,NA
24,176,66
NA,NA,NA
NA,NA,NA
24,164,71
28,164,71
24,172,75
26,175,72
21,198,90
30,194,87
31,NA,NA
21,165,49
NA,156,48
22,179,80
26,179,80
23,178,76
23,178,76
19,185,72
26,167,65
27,172,82
27,172,82
24,180,83
28,180,83
23,182,86
27,182,86
31,182,86
30,182,73
22,178,70
22,185,82
27,166,75
26,NA,NA
23,NA,NA
22,186,83
22,190,77
26,183,75
22,NA,NA
26,165,55
24,181,82
28,181,82
32,181,82
22,182,67
26,182,67
29,188,97
25,168,105
21,NA,NA
21,163,60
21,163,60
27,190,80
21,180,73
34,190,85
38,190,85
38,NA,NA
35,155,43
18,168,60
16,180,70
30,169,75
30,169,75
30,169,75
30,181,79
22,NA,NA
22,NA,NA
25,170,51
NA,NA,NA
NA,NA,NA
25,NA,NA
26,NA,NA
19,175,75
23,175,75
22,188,96
29,188,96
34,188,96
22,182,90
26,182,90
30,182,90
34,182,90
20,187,97
25,187,97
29,187,97
33,187,97
23,176,64
23,176,64
27,176,64
20,175,66
22,190,88
21,169,67
22,175,80
20,160,65
24,181,74
28,NA,60
32,NA,60
22,178,78
22,178,78
22,165,65
19,NA,NA
26,170,70
23,168,55
28,173,77
25,178,80
29,178,80
37,178,80
31,NA,NA
28,170,62
20,164,58
20,165,60
24,165,60
28,165,60
28,173,60
22,181,74
18,182,76
33,159,53
28,171,64
NA,NA,NA
23,192,90
23,178,72
29,195,85
15,175,64
19,175,64
24,180,104
NA,NA,NA
42,172,80
46,172,80
30,167,58
30,167,58
26,183,75
21,184,87
23,179,80
24,175,70
28,175,70
28,175,70
19,179,71
41,160,57
21,164,63
30,163,52
23,NA,NA
42,NA,NA
34,185,91
23,191,88
40,165,57
22,185,98
26,185,98
34,185,98
23,195,94
22,192,83
26,192,83
21,NA,NA
15,167,60
15,167,60
19,167,60
25,163,57
28,203,97
25,NA,NA
29,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
22,NA,NA
20,175,56
21,168,57
29,168,57
NA,NA,NA
23,169,68
19,158,49
18,172,61
25,174,70
32,168,68
NA,170,69
19,NA,NA
31,NA,NA
NA,NA,NA
23,174,69
23,180,56
32,180,56
NA,176,73
NA,176,73
18,154,48
22,154,48
18,153,46
29,NA,NA
NA,NA,NA
30,186,100
31,NA,NA
31,NA,NA
31,NA,NA
35,NA,NA
35,NA,NA
NA,NA,NA
32,152,52
24,193,82
NA,162,57
NA,NA,NA
20,NA,NA
25,189,85
21,NA,NA
21,NA,NA
21,NA,NA
25,NA,NA
25,NA,NA
33,NA,NA
NA,176,67
24,NA,81
32,NA,81
24,183,76
28,172,68
29,NA,NA
23,178,67
27,178,67
24,NA,NA
25,188,92
19,198,80
23,198,80
23,197,87
31,197,87
21,176,74
24,NA,NA
18,NA,NA
22,NA,NA
21,NA,NA
33,NA,NA
33,NA,NA
37,NA,NA
37,NA,NA
37,NA,NA
37,NA,NA
20,NA,NA
NA,NA,NA
27,188,79
16,NA,NA
21,NA,NA
21,NA,NA
30,180,120
28,170,60
36,170,60
36,170,60
21,NA,NA
21,190,83
26,190,95
22,165,48
27,195,95
28,NA,NA
NA,NA,NA
24,NA,NA
22,157,48
19,NA,NA
19,NA,NA
19,NA,NA
19,NA,NA
19,NA,NA
19,NA,NA
19,NA,NA
19,NA,NA
NA,NA,NA
23,165,57
27,165,57
35,165,57
NA,NA,NA
27,188,89
24,176,60
26,175,81
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
41,NA,NA
24,173,77
28,173,77
17,159,51
21,170,58
25,NA,NA
21,170,94
25,170,94
20,NA,NA
36,170,70
40,170,70
23,184,68
19,160,46
23,170,60
20,165,60
23,194,96
22,167,63
22,167,63
22,167,63
22,167,63
22,167,63
21,NA,NA
26,207,90
24,170,63
19,170,63
23,170,63
22,173,60
26,173,60
22,170,80
26,170,80
27,176,56
27,176,56
30,178,66
34,178,66
19,177,65
23,177,65
21,170,57
25,170,57
21,NA,NA
21,NA,NA
29,NA,NA
29,NA,NA
29,NA,NA
29,NA,NA
41,NA,NA
23,178,61
27,178,61
31,178,61
35,178,61
19,169,74
23,169,74
27,169,74
17,NA,NA
21,173,59
21,173,59
21,173,59
NA,NA,NA
24,183,75
26,176,60
23,185,67
29,175,85
31,NA,NA
22,165,60
19,180,76
19,180,76
23,180,76
23,180,76
25,NA,71
